RELIG,CHILDS,AGEKDBRN,EDUC,HAPPY,ATTEND,GOD,INCOME16,FAMGEN,RELIG16,RELITEN,DEGREE,AGE,SEX,RACE,MARITAL,POLVIEWS,HRS1
CATHOLIC,1.0,30.0,12.0,1.0,Several times a year,6.0,25.0,1.0,CATHOLIC,Strong,High school,56.0,2.0,1.0,1.0,6.0,28.0
NONE,0.0,,14.0,2.0,Never,2.0,22.0,1.0,NONE,No religion,Associate/junior college,58.0,1.0,1.0,5.0,1.0,
CATHOLIC,1.0,20.0,12.0,3.0,Never,5.0,9.0,1.0,CATHOLIC,Not very strong,High school,74.0,2.0,1.0,3.0,,
PROTESTANT,3.0,31.0,16.0,2.0,About once or twice a year,3.0,26.0,1.0,PROTESTANT,Not very strong,Bachelor's,70.0,1.0,1.0,1.0,3.0,40.0
CATHOLIC,2.0,33.0,17.0,1.0,Less than once a year,2.0,26.0,2.0,CATHOLIC,Not very strong,Bachelor's,35.0,1.0,1.0,1.0,5.0,40.0
NONE,2.0,20.0,8.0,2.0,Never,3.0,21.0,1.0,PROTESTANT,No religion,Less than high school,65.0,1.0,2.0,1.0,4.0,
NONE,2.0,29.0,14.0,2.0,Never,5.0,19.0,1.0,PROTESTANT,No religion,Associate/junior college,42.0,2.0,1.0,1.0,4.0,
CATHOLIC,2.0,40.0,13.0,1.0,2-3 times a month,6.0,20.0,2.0,CATHOLIC,Somewhat strong (vol.),High school,48.0,2.0,1.0,1.0,5.0,16.0
CATHOLIC,0.0,,13.0,2.0,Never,4.0,18.0,1.0,CATHOLIC,Not very strong,High school,32.0,1.0,1.0,5.0,4.0,40.0
NONE,3.0,41.0,12.0,2.0,Never,5.0,22.0,2.0,CATHOLIC,No religion,High school,56.0,2.0,1.0,1.0,6.0,
CATHOLIC,2.0,22.0,12.0,2.0,Every week,6.0,21.0,1.0,CATHOLIC,Not very strong,High school,61.0,2.0,1.0,1.0,7.0,40.0
PROTESTANT,2.0,32.0,16.0,2.0,Several times a year,3.0,20.0,1.0,PROTESTANT,Not very strong,Bachelor's,76.0,2.0,1.0,2.0,1.0,12.0
PROTESTANT,2.0,28.0,16.0,2.0,Several times a year,4.0,21.0,1.0,PROTESTANT,Not very strong,Bachelor's,59.0,2.0,1.0,1.0,5.0,30.0
PROTESTANT,0.0,,16.0,2.0,Never,3.0,16.0,1.0,PROTESTANT,Not very strong,Bachelor's,69.0,1.0,1.0,5.0,2.0,30.0
NONE,0.0,,18.0,2.0,Never,2.0,22.0,1.0,NONE,No religion,Graduate,48.0,1.0,3.0,5.0,3.0,40.0
JEWISH,2.0,39.0,20.0,2.0,About once or twice a year,6.0,21.0,2.0,JEWISH,Not very strong,Graduate,68.0,2.0,1.0,1.0,6.0,40.0
PROTESTANT,0.0,,16.0,1.0,Never,4.0,1.0,1.0,PROTESTANT,Not very strong,Bachelor's,39.0,2.0,1.0,5.0,3.0,15.0
CATHOLIC,2.0,24.0,18.0,2.0,Every week,5.0,24.0,2.0,CATHOLIC,Not very strong,Graduate,38.0,1.0,1.0,1.0,4.0,50.0
NONE,1.0,32.0,18.0,1.0,Never,1.0,25.0,2.0,JEWISH,No religion,Graduate,39.0,2.0,1.0,5.0,2.0,40.0
PROTESTANT,4.0,23.0,12.0,1.0,Several times a week,6.0,,2.0,CATHOLIC,Strong,High school,52.0,2.0,1.0,1.0,4.0,
NONE,1.0,27.0,20.0,1.0,Never,2.0,17.0,2.0,MUSLIM/ISLAM,No religion,Graduate,41.0,2.0,1.0,1.0,1.0,
NONE,3.0,38.0,17.0,2.0,Never,1.0,26.0,1.0,NONE,No religion,Bachelor's,60.0,1.0,1.0,1.0,2.0,40.0
PROTESTANT,2.0,22.0,15.0,2.0,Every week,6.0,26.0,1.0,PROTESTANT,Strong,High school,69.0,1.0,1.0,1.0,2.0,40.0
BUDDHISM,0.0,,13.0,2.0,Never,2.0,26.0,1.0,PROTESTANT,Strong,High school,60.0,1.0,1.0,1.0,2.0,55.0
CATHOLIC,0.0,,12.0,2.0,Several times a year,6.0,19.0,6.0,CATHOLIC,Strong,High school,22.0,2.0,3.0,5.0,3.0,40.0
NONE,0.0,,16.0,2.0,About once or twice a year,1.0,21.0,2.0,CATHOLIC,No religion,High school,33.0,1.0,3.0,5.0,4.0,
NONE,0.0,,16.0,3.0,Never,4.0,24.0,1.0,NONE,No religion,Bachelor's,35.0,2.0,3.0,1.0,5.0,55.0
CATHOLIC,2.0,27.0,12.0,1.0,About once a month,6.0,16.0,2.0,CATHOLIC,Not very strong,Less than high school,38.0,2.0,1.0,1.0,4.0,40.0
NONE,0.0,,15.0,2.0,Never,2.0,16.0,1.0,CATHOLIC,No religion,High school,25.0,2.0,1.0,5.0,4.0,6.0
NONE,2.0,36.0,14.0,3.0,Less than once a year,5.0,22.0,1.0,NONE,No religion,Associate/junior college,55.0,1.0,1.0,3.0,6.0,40.0
PROTESTANT,0.0,,17.0,2.0,Every week,5.0,14.0,1.0,NONE,Somewhat strong (vol.),High school,34.0,1.0,1.0,1.0,2.0,22.0
PROTESTANT,0.0,,12.0,2.0,Every week,6.0,12.0,2.0,PROTESTANT,Somewhat strong (vol.),High school,18.0,1.0,2.0,5.0,4.0,
CATHOLIC,3.0,20.0,12.0,2.0,2-3 times a month,6.0,20.0,1.0,PROTESTANT,Not very strong,High school,56.0,1.0,3.0,3.0,3.0,65.0
PROTESTANT,0.0,,12.0,2.0,About once or twice a year,6.0,20.0,1.0,PROTESTANT,Not very strong,High school,19.0,1.0,2.0,5.0,6.0,45.0
PROTESTANT,0.0,,12.0,3.0,About once a month,3.0,20.0,1.0,PROTESTANT,Strong,High school,34.0,1.0,2.0,5.0,4.0,
CATHOLIC,0.0,,17.0,2.0,Several times a year,6.0,10.0,1.0,CATHOLIC,Strong,Bachelor's,26.0,2.0,2.0,5.0,,40.0
NONE,0.0,,14.0,2.0,Never,3.0,20.0,2.0,PROTESTANT,No religion,High school,28.0,1.0,1.0,5.0,4.0,
JEWISH,2.0,32.0,19.0,1.0,Never,3.0,22.0,2.0,CATHOLIC,Not very strong,Graduate,59.0,2.0,1.0,4.0,2.0,40.0
PROTESTANT,0.0,,16.0,2.0,About once a month,5.0,20.0,2.0,PROTESTANT,Not very strong,Graduate,39.0,2.0,2.0,5.0,4.0,40.0
PROTESTANT,4.0,16.0,13.0,2.0,Several times a week,6.0,4.0,1.0,PROTESTANT,Strong,High school,77.0,2.0,2.0,4.0,6.0,
PROTESTANT,1.0,22.0,12.0,3.0,Never,6.0,4.0,2.0,PROTESTANT,Not very strong,High school,35.0,2.0,2.0,5.0,5.0,
CATHOLIC,4.0,19.0,16.0,2.0,Never,6.0,21.0,2.0,CATHOLIC,Not very strong,Bachelor's,46.0,2.0,3.0,4.0,4.0,40.0
CATHOLIC,0.0,,8.0,1.0,About once or twice a year,3.0,18.0,1.0,CATHOLIC,Somewhat strong (vol.),Less than high school,57.0,1.0,3.0,5.0,4.0,32.0
NONE,4.0,19.0,11.0,2.0,Never,6.0,9.0,2.0,CATHOLIC,No religion,Less than high school,35.0,2.0,3.0,1.0,4.0,40.0
PROTESTANT,4.0,15.0,12.0,3.0,Nearly every week,6.0,15.0,1.0,CATHOLIC,Not very strong,High school,58.0,2.0,1.0,4.0,5.0,52.0
CATHOLIC,0.0,,14.0,2.0,Every week,6.0,18.0,2.0,CATHOLIC,Strong,High school,20.0,2.0,3.0,5.0,4.0,30.0
CATHOLIC,5.0,17.0,7.0,1.0,Several times a week,6.0,12.0,2.0,CATHOLIC,Strong,Less than high school,48.0,2.0,3.0,1.0,4.0,40.0
CATHOLIC,3.0,20.0,2.0,2.0,Nearly every week,6.0,10.0,2.0,CATHOLIC,Not very strong,Less than high school,51.0,2.0,1.0,4.0,4.0,50.0
NONE,0.0,,11.0,3.0,Never,4.0,,2.0,CATHOLIC,No religion,Less than high school,18.0,2.0,3.0,5.0,2.0,
NONE,0.0,,12.0,2.0,Never,1.0,23.0,2.0,NONE,No religion,High school,18.0,2.0,1.0,5.0,2.0,
NONE,2.0,26.0,12.0,2.0,Never,3.0,20.0,2.0,CATHOLIC,No religion,High school,41.0,2.0,3.0,1.0,4.0,45.0
CATHOLIC,2.0,25.0,15.0,3.0,About once a month,6.0,5.0,2.0,CATHOLIC,Strong,High school,51.0,2.0,3.0,1.0,4.0,
CATHOLIC,4.0,16.0,6.0,2.0,About once or twice a year,6.0,3.0,2.0,CATHOLIC,Not very strong,Less than high school,41.0,2.0,1.0,1.0,4.0,
NONE,1.0,21.0,13.0,2.0,Never,2.0,,1.0,NONE,No religion,High school,71.0,2.0,1.0,5.0,2.0,
